disaster_number,state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,country_name,designated_area,declaration_request_number,deaths,incident_duration
337,Florida,Velika katastrofa,1972-06-23,Coastal Storm,Tropical Storm Agnes,0,1,1,0,1972-06-23,1972-06-23,Okeechobee County,Okeechobee (County),72033,411,22
3095,Tennessee,Upravljanje hitnim situacijama,1993-03-14,Snowstorm,"Severe Snowfall, Winter Storm",0,0,1,0,1993-03-13,1993-03-17,Polk County (Tennessee),Polk (County),93008,5238,21
423,Indiana,Velika katastrofa,1974-04-04,Tornado,Tornadoes,0,1,1,0,1974-04-04,1974-04-04,Shelby County (Indiana),Shelby (County),74029,9165,16
3158,Oklahoma,Upravljanje hitnim situacijama,2000-12-28,Severe Ice Storm,Severe Winter And Ice Storm,0,0,1,0,2000-12-25,2001-01-10,Latimer County,Latimer (County),180,2055,9
4683,California,Velika katastrofa,2023-01-14,Flood,"Severe Winter Storms, Flooding, Landslides, And Mudslides",0,0,1,1,2022-12-27,2023-01-31,Placer County,Placer (County),23004,8686,6
4687,South Dakota,Velika katastrofa,2023-02-20,Winter Storm,Severe Winter Storms And Snowstorm,0,0,1,1,2022-12-12,2022-12-25,South Dakota,Rosebud Indian Reservation,23008,891,17
3225,Michigan,Upravljanje hitnim situacijama,2005-09-07,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Alger County,Alger (County),5106,3434,2
4451,Missouri,Velika katastrofa,2019-07-09,Severe Storm,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2019-04-29,2019-07-05,Mercer County (Missouri),Mercer (County),19045,4930,5
256,North Dakota,Velika katastrofa,1969-04-18,Flood,Flooding,0,1,1,0,1969-04-18,1969-04-18,Sheridan County (North Dakota),Sheridan (County),69019,9689,9
362,Ohio,Velika katastrofa,1972-11-24,Flood,Severe Storms & Flooding,0,1,1,0,1972-11-24,1972-11-24,Lucas County (Ohio),Lucas (County),72062,5388,15
3160,Michigan,Upravljanje hitnim situacijama,2001-01-10,Snowstorm,Snow,0,0,1,0,2000-12-11,2000-12-31,Jackson County (Michigan),Jackson (County),178,9608,18
4272,Texas,Velika katastrofa,2016-06-11,Flood,Severe Storms And Flooding,1,0,1,1,2016-05-22,2016-06-24,Fayette County (Texas),Fayette (County),16047,1435,22
4587,Oklahoma,Velika katastrofa,2021-02-24,Severe Ice Storm,Severe Winter Storms,0,0,1,1,2021-02-08,2021-02-20,Grady County (Oklahoma),Grady (County),21014,6041,3
4442,Minnesota,Velika katastrofa,2019-06-12,Flood,"Severe Winter Storm, Straight-Line Winds, And Flooding",0,0,1,1,2019-03-12,2019-04-28,Traverse County,Traverse (County),19033,4647,7
1646,California,Velika katastrofa,2006-06-05,Severe Storm,"Severe Storms, Flooding, Landslides, And Mudslides",0,0,1,1,2006-03-29,2006-04-16,San Mateo County,San Mateo (County),6088,8882,17
1741,Kansas,Velika katastrofa,2008-02-01,Severe Storm,Severe Winter Storms,0,0,1,1,2007-12-06,2007-12-19,Atchison County (Kansas),Atchison (County),8005,5483,8
2104,Washington,Upravljanje požarom,1994-07-28,Fire,Hatchery Creek/Round Mountain Fire Complex,0,0,1,0,1994-07-26,1994-07-26,Washington,Statewide,94069,3411,10
995,Missouri,Velika katastrofa,1993-07-09,Flood,Severe Storms & Flooding,0,1,0,0,1993-06-10,1993-10-25,Webster County (Missouri),Webster (County),93030,7864,3
3250,Ohio,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Pike County (Ohio),Pike (County),5119,829,14
1010,Tennessee,Velika katastrofa,1994-02-28,Severe Storm,"Severe Winter Ice Storm,Flash Flooding",0,0,1,0,1994-02-09,1994-02-11,Robertson County (Tennessee),Robertson (County),94008,1580,21
1819,Arkansas,Velika katastrofa,2009-02-06,Severe Storm,Severe Winter Storm,0,0,1,1,2009-01-26,2009-01-30,Sharp County,Sharp (County),9014,8531,17
795,Iowa,Velika katastrofa,1987-07-17,Flood,Storms & Flash Flooding,0,0,1,0,1987-05-26,1987-05-31,Montgomery County (Iowa),Montgomery (County),87014,9907,23
205,New Jersey,Velika katastrofa,1965-08-18,Drought,Water Shortage,0,1,1,0,1965-08-18,1965-08-18,Atlantic County,Atlantic (County),65031,2606,8
3164,Maine,Upravljanje hitnim situacijama,2001-03-20,Snowstorm,Snow,0,0,1,0,2001-03-05,2001-03-31,Somerset County (Maine),Somerset (County),1028,7269,19
3349,Maryland,Upravljanje hitnim situacijama,2012-10-28,Hurricane,Hurricane Sandy,0,0,1,0,2012-10-26,2012-11-08,Cecil County,Cecil (County),12101,8903,18
3556,Louisiana,Upravljanje hitnim situacijama,2021-02-18,Severe Ice Storm,Severe Winter Storm,0,0,1,0,2021-02-11,2021-02-19,Bienville Parish,Bienville (Parish),21012,1296,19
3215,Arkansas,Upravljanje hitnim situacijama,2005-09-02,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Calhoun County (Arkansas),Calhoun (County),5089,786,15
3215,Arkansas,Upravljanje hitnim situacijama,2005-09-02,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Marion County (Arkansas),Marion (County),5089,752,1
1557,Pennsylvania,Velika katastrofa,2004-09-19,Hurricane,Tropical Depression Ivan,1,1,1,1,2004-09-17,2004-10-01,Cumberland County (Pennsylvania),Cumberland (County),4119,4625,9
3354,New Jersey,Upravljanje hitnim situacijama,2012-10-28,Hurricane,Hurricane Sandy,0,0,1,0,2012-10-26,2012-11-08,Union County (New Jersey),Union (County),12107,1589,12
1253,Missouri,Velika katastrofa,1998-10-14,Severe Storm,"Severe Storms, Flooding And Tornadoes",0,0,1,0,1998-10-04,1998-10-11,Barton County (Missouri),Barton (County),98082,9793,1
3242,Minnesota,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Yellow Medicine County,Yellow Medicine (County),5116,7816,12
577,Mississippi,Velika katastrofa,1979-04-16,Severe Storm,"Storms, Tornadoes, Floods",0,1,1,0,1979-04-16,1979-04-16,Lowndes County (Mississippi),Lowndes (County),79037,6001,23
1875,Maryland,Velika katastrofa,2010-02-19,Snowstorm,Severe Winter Storm And Snowstorm,0,0,1,1,2009-12-18,2009-12-20,Queen Anne County,Queen Anne's (County),10012,7186,18
3239,Iowa,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Hancock County (Iowa),Hancock (County),5114,3538,13
255,Minnesota,Velika katastrofa,1969-04-18,Flood,Flooding,0,1,1,0,1969-04-18,1969-04-18,Hennepin County,Hennepin (County),69018,9884,10
3232,Missouri,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Osage County (Missouri),Osage (County),5109,9605,14
1458,Virginia,Velika katastrofa,2003-03-27,Severe Storm,"Severe Winter Storm, Record/Near Record Snowfall, Heavy Rain,Floodind, And Mudslide",0,0,1,0,2003-02-15,2003-02-28,Prince William County,Prince William (County),3015,2662,5
3114,Florida,Upravljanje hitnim situacijama,1994-07-08,Flood,Tropical Storm Alberto,0,0,1,0,1994-07-02,1994-07-29,Liberty County (Florida),Liberty (County),94063,8559,9
1058,Oklahoma,Velika katastrofa,1995-06-26,Tornado,"Tornadoes, Severe Storms And Flooding",0,0,1,0,1995-05-26,1995-06-11,Beckham County,Beckham (County),95034,1685,20
3035,Michigan,Upravljanje hitnim situacijama,1977-03-02,Drought,Drought,0,0,1,0,1977-03-02,1977-03-02,Ogemaw County,Ogemaw (County),77021,21,9
202,New Mexico,Velika katastrofa,1965-07-01,Flood,Severe Storms & Flooding,0,1,1,0,1965-07-01,1965-07-01,San Miguel County (New Mexico),San Miguel (County),65028,5478,20
1909,Tennessee,Velika katastrofa,2010-05-04,Severe Storm,"Severe Storms, Flooding, Straight-Line Winds, And Tornadoes",0,0,1,1,2010-04-30,2010-05-18,Campbell County (Tennessee),Campbell (County),10053,8166,14
1475,Kentucky,Velika katastrofa,2003-07-02,Severe Storm,"Severe Storms, Flooding, Mud And Rock Slides, And Tornadoes",1,1,1,1,2003-06-14,2003-06-27,Leslie County,Leslie (County),3059,7782,19
3202,Nevada,Upravljanje hitnim situacijama,2005-02-17,Snowstorm,Record And/Or Near Record Snow,0,0,1,0,2004-12-29,2005-01-02,Mineral County (Nevada),Mineral (County),5016,7905,4
3345,West Virginia,Upravljanje hitnim situacijama,2012-06-30,Severe Storm,Severe Storms,0,0,1,0,2012-06-29,2012-07-10,Barbour County(West Virginia),Barbour (County),12042,1744,18
1539,Florida,Velika katastrofa,2004-08-13,Hurricane,Tropical Storm Bonnie And Hurricane Charley,0,0,1,1,2004-08-11,2004-08-30,Hernando County,Hernando (County),4085,2180,18
1154,Idaho,Velika katastrofa,1997-01-04,Severe Storm,"Severe Storms, Flooding, Mud And Landslides",0,1,1,0,1996-11-16,1997-01-03,Bonner County,Bonner (County),97028,4111,10
1500,West Virginia,Velika katastrofa,2003-11-21,Severe Storm,"Severe Storms, Flooding, And Landslides",0,0,1,1,2003-11-11,2003-11-30,Pendleton County (West Virginia),Pendleton (County),3135,3992,13
4540,Kentucky,Velika katastrofa,2020-04-24,Severe Storm,"Severe Storms, Flooding, Landslides, And Mudslides",0,0,1,1,2020-02-03,2020-02-29,Metcalfe County,Metcalfe (County),20134,3233,16
4575,Oklahoma,Velika katastrofa,2020-12-21,Severe Ice Storm,Severe Winter Storm,0,0,1,1,2020-10-26,2020-10-29,Kay County,Kay (County),20322,3397,9
1516,Arkansas,Velika katastrofa,2004-05-07,Severe Storm,"Sever Storms, Flooding And Landslides",0,0,1,1,2004-04-19,2004-05-18,Washington County (Arkansas),Washington (County),4029,884,5
3219,Oklahoma,Upravljanje hitnim situacijama,2005-09-05,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Adair County (Oklahoma),Adair (County),5091,7545,6
1459,Mississippi,Velika katastrofa,2003-04-24,Severe Storm,"Severe Storms, Tornadoes, Floods",1,1,0,1,2003-04-06,2003-04-25,Jasper County (Mississippi),Jasper (County),3032,8275,10
485,Pennsylvania,Velika katastrofa,1975-09-26,Flood,"Severe Storms, Heavy Rains & Flooding",0,1,1,0,1975-09-26,1975-09-26,Mifflin County,Mifflin (County),76019,2238,18
1767,Montana,Velika katastrofa,2008-06-13,Severe Storm,Severe Winter Storm,0,0,1,1,2008-05-01,2008-05-02,Custer County (Montana),Custer (County),8076,7114,3
3136,New York,Upravljanje hitnim situacijama,1999-01-15,Snowstorm,Snow,0,0,1,0,1999-01-01,1999-01-15,St. Lawrence County (New York),St. Lawrence (County),99006,1510,23
424,Tennessee,Velika katastrofa,1974-04-04,Tornado,Tornadoes,0,1,1,0,1974-04-04,1974-04-04,Johnson County (Tennessee),Johnson (County),74030,1772,1
1296,New York,Velika katastrofa,1999-09-19,Hurricane,Hurricane Floyd Major Disaster Declarations,0,1,1,1,1999-09-16,1999-09-18,Putnam County (New York),Putnam (County),99097,4819,13
3348,Mississippi,Upravljanje hitnim situacijama,2012-08-28,Hurricane,Tropical Storm Isaac,0,0,1,0,2012-08-26,2012-09-11,Wilkinson County (Mississippi),Wilkinson (County),12076,8982,15
3309,North Dakota,Upravljanje hitnim situacijama,2010-03-14,Flood,Flooding,0,0,1,0,2010-02-26,2010-04-30,Walsh County,Walsh (County),10024,5203,6
1335,New York,Velika katastrofa,2000-07-21,Severe Storm,Severe Storms And Flooding,0,0,1,1,2000-05-03,2000-08-12,Dutchess County,Dutchess (County),43,9545,3
1819,Arkansas,Velika katastrofa,2009-02-06,Severe Storm,Severe Winter Storm,0,0,1,1,2009-01-26,2009-01-30,Izard County,Izard (County),9014,7857,23
1251,Mississippi,Velika katastrofa,1998-10-01,Hurricane,Hurricane Georges,0,1,0,1,1998-09-25,1998-10-05,Jefferson Davis County,Jefferson Davis (County),98080,507,4
1412,Missouri,Velika katastrofa,2002-05-06,Severe Storm,"Severe Storms, Tornadoes And Flooding",0,0,1,0,2002-04-24,2002-06-10,Lafayette County (Missouri),Lafayette (County),2033,4853,3
3405,Florida,Upravljanje hitnim situacijama,2018-10-09,Hurricane,Hurricane Michael,0,0,1,0,2018-10-07,2018-10-19,Hernando County,Hernando (County),18112,6116,6
293,Colorado,Velika katastrofa,1970-09-22,Flood,Heavy Rains & Flooding,0,1,1,0,1970-09-22,1970-09-22,Conejos County,Conejos (County),70020,6767,12
1085,Pennsylvania,Velika katastrofa,1996-01-13,Snowstorm,Blizzard Of 96,0,0,1,0,1996-01-06,1996-01-12,Cumberland County (Pennsylvania),Cumberland (County),96017,7913,22
797,Minnesota,Velika katastrofa,1987-08-06,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,0,0,1987-07-20,1987-08-05,Scott County (Minnesota),Scott (County),87020,9345,15
4375,Nebraska,Velika katastrofa,2018-06-29,Snowstorm,Severe Winter Storm And Straight-Line Winds,0,0,1,1,2018-04-13,2018-04-18,Loup County,Loup (County),18030,5313,13
1539,Florida,Velika katastrofa,2004-08-13,Hurricane,Tropical Storm Bonnie And Hurricane Charley,0,0,1,1,2004-08-11,2004-08-30,Hamilton County (Florida),Hamilton (County),4085,5331,4
1682,Washington,Velika katastrofa,2007-02-14,Severe Storm,"Severe Winter Storm, Landslides, And Mudslides",0,0,1,1,2006-12-14,2006-12-15,Lewis County (Washington),Lewis (County),7789,8565,10
1499,Washington,Velika katastrofa,2003-11-07,Severe Storm,Severe Storms And Flooding,1,1,1,1,2003-10-15,2003-10-23,Mason County (Washington),Mason (County),3132,8118,22
1045,South Dakota,Velika katastrofa,1995-03-14,Snowstorm,Severe Winter Storms,0,0,1,0,1995-01-13,1995-02-10,Hughes County (South Dakota),Hughes (County),95013,2491,14
1924,Nebraska,Velika katastrofa,2010-07-15,Severe Storm,Severe Storms And Flooding,0,0,1,1,2010-06-01,2010-08-29,Perkins County (Nebraska),Perkins (County),10075,4456,10
694,Idaho,Velika katastrofa,1983-11-18,Earthquake,Earthquake,0,1,1,0,1983-10-28,1984-01-25,Custer County (Idaho),Custer (County),84005,7462,17
3220,Florida,Upravljanje hitnim situacijama,2005-09-05,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Suwannee County,Suwannee (County),5093,154,16
477,New Jersey,Velika katastrofa,1975-07-23,Flood,"Heavy Rains, High Winds, Hail & Tornadoes",0,1,1,0,1975-07-23,1975-07-23,Burlington County,Burlington (County),76004,6652,12
1627,Nebraska,Velika katastrofa,2006-01-26,Severe Storm,Severe Winter Storm,0,0,1,1,2005-11-27,2005-11-28,Boyd County (Nebraska),Boyd (County),5165,3747,8
1173,South Dakota,Velika katastrofa,1997-04-07,Flood,"Severe Flooding, Sever Winter Storms,Heavy Rains High Winds",0,1,1,0,1997-02-03,1997-05-24,Moody County,Moody (County),97049,3018,3
1668,Louisiana,Velika katastrofa,2006-11-02,Severe Storm,Severe Storms And Flooding,0,0,1,1,2006-10-16,2006-11-08,Evangeline Parish,Evangeline (Parish),6166,4156,12
1749,Missouri,Velika katastrofa,2008-03-19,Severe Storm,Severe Storms And Flooding,1,1,1,1,2008-03-17,2008-05-09,Carter County (Missouri),Carter (County),8037,6210,23
1279,North Dakota,Velika katastrofa,1999-06-08,Flood,"Severe Storms, Flooding, Snow, Ice, Ground Saturation, Lanslides, Mudslides, And Tor",0,1,1,1,1999-03-01,1999-07-19,Pierce County (North Dakota),Pierce (County),99052,2479,8
1833,Georgia,Velika katastrofa,2009-04-23,Severe Storm,"Severe Storms, Flooding, Tornadoes, And Straight-Line Winds",0,0,1,1,2009-03-26,2009-04-13,Upson County,Upson (County),9043,432,19
4644,Virginia,Velika katastrofa,2022-03-11,Severe Storm,Severe Winter Storm And Snowstorm,0,0,1,1,2022-01-02,2022-01-03,Prince Edward County,Prince Edward (County),22013,8153,16
1050,North Dakota,Velika katastrofa,1995-05-16,Severe Storm,"Severe Storms, Flooding, And Ground Saturation",0,1,1,0,1995-03-01,1995-07-05,Walsh County,Walsh (County),95004,330,20
1812,New Hampshire,Velika katastrofa,2009-01-02,Severe Ice Storm,Severe Winter Storm,0,0,1,1,2008-12-11,2008-12-23,Carroll County (New Hampshire),Carroll (County),8184,4919,17
3583,Puerto Rico,Upravljanje hitnim situacijama,2022-09-18,Hurricane,Tropical Storm Fiona,0,0,1,0,2022-09-17,2022-09-21,Carolina Municipio,Carolina (Municipio),22084,3207,1
3236,Kansas,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-09-01,2005-10-01,Butler County (Kansas),Butler (County),5110,6576,13
523,Pennsylvania,Velika katastrofa,1976-10-20,Flood,Severe Storms & Flooding,0,1,1,0,1976-10-20,1976-10-20,Snyder County,Snyder (County),77004,4952,1
1598,Utah,Velika katastrofa,2005-08-01,Flood,Flooding And Landslides,0,0,1,1,2005-04-28,2005-06-29,Sevier County (Utah),Sevier (County),5049,4137,15
3219,Oklahoma,Upravljanje hitnim situacijama,2005-09-05,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Noble County (Oklahoma),Noble (County),5091,2174,12
3374,Missouri,Upravljanje hitnim situacijama,2016-01-02,Flood,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",0,0,1,0,2015-12-22,2016-01-09,Stoddard County,Stoddard (County),16001,363,11
3261,Texas,Upravljanje hitnim situacijama,2005-09-21,Hurricane,Hurricane Rita,0,0,1,0,2005-09-20,2005-10-14,Ochiltree County,Ochiltree (County),5137,1621,18
3216,Texas,Upravljanje hitnim situacijama,2005-09-02,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Castro County,Castro (County),5090,500,22
1047,Alabama,Velika katastrofa,1995-04-21,Severe Storm,"Severe Storms, Flooding And Tornadoes",0,1,1,0,1995-02-15,1995-02-20,Cullman County,Cullman (County),95016,2557,14
1044,California,Velika katastrofa,1995-01-10,Severe Storm,"Severe Winter Storms, Flooding, Landslides, Mud Flows",0,1,1,0,1995-01-03,1995-02-10,Santa Clara County,Santa Clara (County),95009,6429,14
256,North Dakota,Velika katastrofa,1969-04-18,Flood,Flooding,0,1,1,0,1969-04-18,1969-04-18,McKenzie County,McKenzie (County),69019,694,18
1539,Florida,Velika katastrofa,2004-08-13,Hurricane,Tropical Storm Bonnie And Hurricane Charley,1,1,1,1,2004-08-11,2004-08-30,Pasco County,Pasco (County),4085,458,23
5359,Washington,Upravljanje požarom,2020-09-09,Fire,Bordeaux Road Fire,0,0,1,1,2020-09-08,2020-09-11,Thurston County (Washington),Thurston (County),20276,6295,21
931,Puerto Rico,Velika katastrofa,1992-01-22,Flood,Severe Storms & Flooding,0,1,1,0,1992-01-05,1992-01-06,Fajardo Municipio,Fajardo (Municipio),92001,5004,20
1915,South Dakota,Velika katastrofa,2010-05-13,Flood,Flooding,0,0,1,1,2010-03-10,2010-06-20,Sanborn County,Sanborn (County),10050,8014,1
4576,Mississippi,Velika katastrofa,2020-12-31,Hurricane,Hurricane Zeta,1,0,1,1,2020-10-28,2020-10-29,Hancock County (Mississippi),Hancock (County),20324,6306,21
3282,Kansas,Upravljanje hitnim situacijama,2007-12-12,Severe Storm,Severe Winter Storms,0,0,1,0,2007-12-06,2007-12-19,Haskell County (Kansas),Haskell (County),7932,2263,13
828,Texas,Velika katastrofa,1989-05-19,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,1,0,1989-05-04,1989-06-07,McLennan County,McLennan (County),89012,2364,8
3215,Arkansas,Upravljanje hitnim situacijama,2005-09-02,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Cleveland County (Arkansas),Cleveland (County),5089,6389,18
210,Mississippi,Velika katastrofa,1965-09-25,Hurricane,Hurricane Betsy,0,1,1,0,1965-09-25,1965-09-25,Pike County (Mississippi),Pike (County),65036,7350,11
1401,Oklahoma,Velika katastrofa,2002-02-01,Severe Ice Storm,Severe Winter Ice Storm,0,1,1,0,2002-01-30,2002-02-11,Greer County,Greer (County),2014,9583,18
518,Vermont,Velika katastrofa,1976-08-05,Flood,"Severe Storms, High Winds & Flooding",0,1,1,0,1976-08-05,1976-08-05,Washington County (Vermont),Washington (County),76068,1017,17
1354,Arkansas,Velika katastrofa,2000-12-29,Severe Ice Storm,Severe Winter Ice Storm,0,1,1,0,2000-12-12,2001-01-08,Columbia County (Arkansas),Columbia (County),181,1868,9
3246,Connecticut,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Tolland County,Tolland (County),5122,2270,11
3216,Texas,Upravljanje hitnim situacijama,2005-09-02,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Foard County,Foard (County),5090,1069,21
1157,North Dakota,Velika katastrofa,1997-01-12,Severe Storm,Severe Winter Storms And Blizzard Conditions,0,0,1,1,1997-01-03,1997-01-31,Griggs County,Griggs (County),97031,5126,2
1545,Florida,Velika katastrofa,2004-09-04,Hurricane,Hurricane Frances,1,1,1,1,2004-09-03,2004-10-08,Glades County,Glades (County),4097,3888,10
804,Louisiana,Velika katastrofa,1987-11-30,Tornado,Tornadoes & Flooding,0,1,0,0,1987-11-15,1987-11-19,Madison Parish,Madison (Parish),87036,8545,2
3294,Texas,Upravljanje hitnim situacijama,2008-09-10,Hurricane,Hurricane Ike,0,0,1,0,2008-09-07,2008-09-26,Jim Hogg County,Jim Hogg (County),8146,7603,13
4159,Texas,Velika katastrofa,2013-12-20,Severe Storm,Severe Storms And Flooding,0,0,1,1,2013-10-30,2013-10-31,Caldwell County (Texas),Caldwell (County),13100,2124,7
1876,Oklahoma,Velika katastrofa,2010-02-25,Severe Storm,Severe Winter Storm,0,0,1,1,2009-12-24,2009-12-25,Canadian County,Canadian (County),10008,384,9
857,Georgia,Velika katastrofa,1990-02-23,Severe Storm,"Severe Storms, Tornaodes & Flooding",0,1,1,0,1990-02-10,1990-02-24,Murray County (Georgia),Murray (County),90009,6126,1
1068,Puerto Rico,Velika katastrofa,1995-09-16,Hurricane,Hurricane Marilyn,0,0,1,0,1995-09-15,1995-09-17,Ciales Municipio,Ciales (Municipio),95052,9524,16
928,Iowa,Velika katastrofa,1991-12-26,Severe Ice Storm,Ice Storm,0,0,1,0,1991-10-31,1991-11-29,Hancock County (Iowa),Hancock (County),91061,7803,12
4471,Tennessee,Velika katastrofa,2019-12-06,Severe Storm,Severe Storm And Straight-Line Winds,0,0,1,1,2019-10-26,2019-10-26,Henderson County (Tennessee),Henderson (County),19101,1783,6
992,New Mexico,Velika katastrofa,1993-06-07,Flood,Severe Storms & Flooding,0,0,1,0,1993-01-05,1993-02-27,McKinley County,McKinley (County),93053,1781,19
3359,Virginia,Upravljanje hitnim situacijama,2012-10-29,Hurricane,Hurricane Sandy,0,0,1,0,2012-10-26,2012-11-01,Floyd County (Virginia),Floyd (County),12112,1682,6
1191,Iowa,Velika katastrofa,1997-11-20,Snowstorm,Severe Snowstorms,0,0,1,0,1997-10-26,1997-10-28,Iowa County (Iowa),Iowa (County),98225,9147,6
1549,Alabama,Velika katastrofa,2004-09-15,Hurricane,Hurricane Ivan,1,1,1,1,2004-09-13,2004-09-30,Sumter County (Alabama),Sumter (County),4109,5080,15
1905,Virginia,Velika katastrofa,2010-04-27,Snowstorm,Severe Winter Storms And Snowstorms,0,0,1,1,2010-02-05,2010-02-11,Culpeper County,Culpeper (County),10042,4670,15
1883,Oklahoma,Velika katastrofa,2010-03-05,Severe Ice Storm,Severe Winter Storm,0,0,1,1,2010-01-28,2010-01-30,Blaine County (Oklahoma),Blaine (County),10018,8214,20
4234,Iowa,Velika katastrofa,2015-07-31,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",0,0,1,1,2015-06-20,2015-06-25,Dallas County (Iowa),Dallas (County),15043,9947,19
1157,North Dakota,Velika katastrofa,1997-01-12,Severe Storm,Severe Winter Storms And Blizzard Conditions,0,0,1,1,1997-01-03,1997-01-31,Dickey County,Dickey (County),97031,7164,5
1604,Mississippi,Velika katastrofa,2005-08-29,Hurricane,Hurricane Katrina,1,1,1,1,2005-08-29,2005-10-14,George County,George (County),5082,7030,2
1205,Delaware,Velika katastrofa,1998-02-13,Severe Storm,"Severe Winter Storms, High Winds, And Flooding",0,0,1,0,1998-01-28,1998-02-06,Sussex County (Delaware),Sussex (County),98017,5307,1
1135,Virginia,Velika katastrofa,1996-09-06,Hurricane,Hurricane Fran And Associated Severe Storm Cond,0,1,0,0,1996-09-05,1996-09-23,King and Queen County,King and Queen (County),96179,8817,5
475,North Dakota,Velika katastrofa,1975-07-11,Flood,Severe Storms & Flooding,0,1,1,0,1975-07-11,1975-07-11,Traill County,Traill (County),76001,524,16
3421,South Carolina,Upravljanje hitnim situacijama,2019-09-01,Hurricane,Hurricane Dorian,0,0,1,0,2019-08-31,2019-09-06,Marion County (South Carolina),Marion (County),19075,2884,9
1803,Oklahoma,Velika katastrofa,2008-10-09,Severe Storm,"Severe Storms, Tornadoes, And Flooding",0,0,1,0,2008-09-12,2008-09-19,Major County,Major (County),8151,4442,13
3026,Pennsylvania,Upravljanje hitnim situacijama,1977-01-29,Snowstorm,Snowstorms,0,0,1,0,1977-01-29,1977-01-29,Clarion County,Clarion (County),77031,5498,1
951,Ohio,Velika katastrofa,1992-08-04,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,0,1,0,1992-07-12,1992-08-01,Columbiana County (Ohio),Columbiana (County),92029,5366,16
1349,Oklahoma,Velika katastrofa,2000-11-27,Severe Storm,Severe Storms And Flooding,0,0,1,0,2000-10-21,2000-10-29,Kiowa County (Oklahoma),Kiowa (County),165,5485,13
996,Iowa,Velika katastrofa,1993-07-09,Flood,Severe Storms & Flooding,0,1,1,0,1993-04-13,1993-10-01,Plymouth County (Iowa),Plymouth (County),93031,605,22
3096,Alabama,Upravljanje hitnim situacijama,1993-03-15,Snowstorm,"Severe Snowfall, Winter Storm",0,0,1,0,1993-03-13,1993-03-17,Dale County,Dale (County),93009,830,22
3231,Kentucky,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-29,2005-10-01,Logan County (Kentucky),Logan (County),5099,4649,11
3423,North Carolina,Upravljanje hitnim situacijama,2019-09-03,Hurricane,Hurricane Dorian,0,0,1,0,2019-09-01,2019-09-09,Graham County (North Carolina),Graham (County),19077,7879,2
1606,Texas,Velika katastrofa,2005-09-24,Hurricane,Hurricane Rita,0,0,1,1,2005-09-23,2005-10-14,Burnet County,Burnet (County),5140,3826,8
261,Colorado,Velika katastrofa,1969-05-19,Flood,Severe Storms & Flooding,0,1,1,0,1969-05-19,1969-05-19,Douglas County (California),Douglas (County),69024,1205,22
3292,Alabama,Upravljanje hitnim situacijama,2008-08-30,Hurricane,Hurricane Gustav,0,0,1,0,2008-08-29,2008-09-03,Limestone County (Alabama),Limestone (County),8135,3928,12
1011,Arkansas,Velika katastrofa,1994-02-28,Snowstorm,Severe Winter Ice Storm,0,0,1,0,1994-02-09,1994-02-10,Drew County,Drew (County),94009,8715,18
1488,Vermont,Velika katastrofa,2003-09-12,Severe Storm,Severe Storms And Flooding,0,0,1,1,2003-07-21,2003-08-18,Windham County (Vermont),Windham (County),3098,6132,14
3288,Florida,Upravljanje hitnim situacijama,2008-08-21,Severe Storm,Tropical Storm Fay,0,0,1,0,2008-08-18,2008-09-12,Lee County (Florida),Lee (County),8129,849,5
